track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,released_date,cluster
Shake It Off,Taylor Swift,4,2015,4,18,3199,5,8300,151,2,103,6,36,137.5384317724536,G,Major,89.2623449291382,75.75614302759686,78.28783799358288,20.553723548197294,5.77197164092595,8.808831130237847,29.37894931223912,2015-04-18,0
Selfish,PnB Rock,1,2019,5,7,4080,8,51058,213,8,172,0,16,95.08738551752198,C#,Minor,53.89264244066039,44.33371899685127,31.131172243758623,60.14233967163358,28.82270665066806,48.00395085938972,12.224822657643262,2019-05-07,1
Bigger Than The Whole Sky,Taylor Swift,2,2016,3,22,3016,12,28487,21,9,154,0,47,138.82644734266847,F#,Major,85.23517523851154,60.82701677205504,77.28247799398767,13.999391238961154,8.505998451298089,7.904875943772318,21.93677489323268,2016-03-22,0
Last Christmas,Wham!,3,2015,5,25,908,16,136632,47,3,113,5,35,134.6536728986962,B,Minor,79.17491897383539,77.87403729231508,74.7359283897769,11.25496341478684,3.977477980647323,12.890646406557394,25.095289006141265,2015-05-25,1
Classy 101,"Feid, Young Miko",2,2009,5,26,3629,18,143704,272,0,117,4,12,98.60640645944024,B,Major,44.58832600459667,58.51175850361208,37.19312236262495,46.607834825662806,27.18654303763985,58.16526177230847,8.917866046589987,2009-05-26,0
Dream On,Aerosmith,5,2003,3,15,3135,18,198875,213,15,170,7,29,107.62409196247847,F,Minor,41.20136117812077,56.70764958191934,39.03770340589088,44.659395535219694,27.0521280437946,48.02740806620371,13.922940153736391,2003-03-15,1
Numb Little Bug,Em Beihold,2,2018,10,5,882,6,164616,11,6,193,0,13,96.4296506772783,G#,Minor,46.00719427671629,45.70354555173811,51.71152103184474,57.42615923528762,23.023169568607837,33.53246591564413,12.128794303169514,2018-10-05,1
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",4,2016,11,4,1621,11,146044,76,11,189,3,9,97.26401432308212,F#,Minor,53.23937954442542,55.54771362556433,53.57743811263256,47.86711906048435,46.28148256416269,50.79748758670426,12.999139973164093,2016-11-04,1
Smoking on my Ex Pack,SZA,3,2005,6,21,128,0,13602,91,11,16,7,12,103.00428883298464,G#,Major,43.64025919799994,52.990277856138256,58.738095395025006,58.6599478057102,41.63308958425445,59.854264581213954,14.343986502767171,2005-06-21,0
HEARTBREAK ANNIVERSARY,Giveon,1,2015,11,4,2159,15,119204,297,10,163,8,38,138.70179079451864,Unknown,Major,86.49759877445811,76.58720605032113,78.07510211941737,24.147166706033868,7.296998330864253,15.037332701764722,20.704408541896683,2015-11-04,0
Down Under (feat. Colin Hay),"Luude, Colin Hay",5,2004,2,22,3483,4,19715,127,7,162,9,10,131.37200580565366,B,Minor,79.66905002875606,62.135270805386575,84.09324298968681,13.229335629244886,7.136701714515895,13.591090030386214,25.30013541003285,2004-02-22,1
I Was Never There,"The Weeknd, Gesaffelstein",5,2021,8,10,2769,13,102036,29,13,128,2,33,92.6472805588718,A#,Major,55.52077602975863,53.78144490097475,58.5011338143883,48.571220971373535,45.04504790872842,39.03424231633714,14.911019330893778,2021-08-10,0
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2001,7,17,1862,19,85097,149,8,62,3,3,91.59887489677897,G#,Minor,59.82389828299101,55.54286996979408,53.83440405747119,40.43415300935379,36.84082654363176,31.39847661667096,9.96514858314034,2001-07-17,1
Que Vuelvas,"Carin Leon, Grupo Frontera",1,1994,1,30,4969,0,71561,148,3,50,2,41,140.5083804961481,A#,Major,94.65664313475068,76.35976181905113,78.87852470634695,18.56284842607185,6.420171901306324,7.769710709151797,28.086434996829222,1994-01-30,0
Snooze,SZA,4,2000,6,24,2211,0,163966,159,11,96,1,7,92.8465512090406,F,Major,57.887638487375256,47.1828482654359,41.2477601811172,61.36683252352129,36.44545139885214,40.94324729547824,6.548383233316506,2000-06-24,0
Before You Go,Lewis Capaldi,3,1996,5,20,2092,15,66017,44,2,157,6,37,105.72939330822403,D#,Major,56.655917239552224,47.4758014660099,32.822854368257985,45.13933485233312,36.42015370384435,59.7548647767152,6.073015211566148,1996-05-20,0
Heather,Conan Gray,2,2019,1,1,947,11,131936,41,7,33,3,21,94.84061795408417,F,Major,57.72618875600839,48.67884936534288,30.356779940126472,69.86933635947187,24.93768594740936,41.03483481003833,7.879434578706776,2019-01-01,0
Forever,Labrinth,1,1994,2,5,1569,10,31531,57,11,49,4,41,130.6063665088685,E,Minor,79.71646386736879,79.79373940808911,75.34543489984866,6.307662895078465,8.54442193703106,13.861605890946018,18.196969448738155,1994-02-05,1
Agosto,Bad Bunny,4,2017,11,2,3866,12,51016,139,8,125,4,23,107.55397884620872,C#,Minor,55.154365701282096,56.407806863447504,50.04739218940759,46.71606506213459,30.849923301297157,46.00380365036269,8.721559593506356,2017-11-02,1
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2017,10,5,3023,2,46986,177,0,11,9,23,135.40520553600504,D,Major,94.42215182132648,77.96179935356656,80.05586134281174,5.3714697777109,0.8050010913820882,8.046156453639368,15.050406123840895,2017-10-05,0
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",4,2022,2,21,3375,0,196143,164,5,6,9,35,139.93913822863155,A#,Minor,77.80465905867003,78.83238793513851,84.23049289570106,22.91902674289928,7.788052878157198,17.673534290046987,23.740606942093315,2022-02-21,1
Need To Know,Doja Cat,3,1998,7,8,4160,15,182644,96,8,101,8,22,92.66904837103188,C#,Major,48.47964090577308,43.95792826687636,46.03755287575793,53.005612355300265,28.28856604955516,46.26142003256191,10.77261809926054,1998-07-08,0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2006,2,13,3884,4,3023,79,17,105,3,42,148.05753835164285,A,Minor,85.03383217547086,73.65196339197813,71.33660332866971,20.43443181558056,6.753201416291658,17.14027342190401,16.1273674111131,2006-02-13,1
All of Me,John Legend,3,1963,2,25,3826,7,150129,162,6,177,3,0,148.91311136308587,G#,Major,88.97289370313702,67.69543103199483,70.62037923047977,16.926751185514078,0.765587867897366,8.06353339139815,25.231415706134637,1963-02-25,0
Escapism.,"RAYE, 070 Shake",5,2010,11,30,528,16,185470,280,13,72,8,4,103.56071007862644,D,Major,40.5373110379144,48.3709449573106,54.09600882917992,45.178369426059405,39.760208088961086,59.10141953171595,14.726685827614078,2010-11-30,0
Under The Influence,Chris Brown,4,2019,3,13,3115,11,107068,15,5,9,2,6,102.9322914455654,A,Minor,47.06915837768803,57.87815039676488,57.93012594287556,55.51217364303567,39.77202146199429,36.49907752277382,7.918281202483481,2019-03-13,1
Sigue,"Ed Sheeran, J Balvin",4,2002,9,22,1271,0,149815,170,18,195,9,37,103.7070661014189,G,Major,50.05266210655399,46.60909308131739,30.154970207110285,60.81201855509177,30.597023514825693,53.29673000721263,14.673445660929309,2002-09-22,0
Ditto,NewJeans,4,2022,10,11,2930,8,172531,257,4,20,5,40,96.450750225982,F#,Minor,47.35078753531546,44.262997040597774,58.75288966539802,53.13283484694695,33.97420938430863,56.62945796294749,13.807176481857166,2022-10-11,1
Formula,Labrinth,4,2012,2,17,595,5,64295,272,12,41,7,40,133.35429326212835,B,Major,91.2386473376333,75.89935095627749,77.06246470161355,22.211272342392835,1.7156415574564898,8.34824842559108,20.16626633663758,2012-02-17,0
Master of Puppets (Remastered),Metallica,4,1971,10,2,562,10,54415,81,8,45,6,40,130.6799233831932,E,Minor,82.66515585616808,66.2237401236936,83.50848249367209,12.12505830152005,5.850296826349073,16.20824213982865,24.88572999470837,1971-10-02,1
We Found Love,"Rihanna, Calvin Harris",4,2016,8,10,4499,16,29595,270,10,103,2,26,141.1050548526193,C#,Major,82.42543243198828,68.1998321175112,88.96552856232321,24.38242247215126,4.248444929985301,14.617436575824728,28.332086188492475,2016-08-10,0
Sprinter,"Dave, Central Cee",1,1956,12,25,4512,13,10334,113,12,136,3,5,108.4054454531059,C#,Major,42.44804087708344,48.68784143464028,53.25964945555778,47.91837388228128,48.24592509667682,58.19296034262023,8.04841434105135,1956-12-25,0
BESO,"Rauw Alejandro, ROSALï¿½",5,1996,12,22,2972,13,37710,56,3,120,4,12,147.32055856092404,F,Minor,75.0151217428766,66.05574374818987,75.04239189457712,17.91721725549563,2.3484824205332213,6.109759245570204,15.180968034757951,1996-12-22,1
People Pt.2 (feat. IU),"IU, Agust D",3,2017,5,4,3143,3,61101,78,15,31,9,42,95.83687455745086,G,Minor,40.05790777184867,43.94299642524612,35.159630275930944,67.13447743480609,48.09660520351153,30.216075666470555,12.61331821572148,2017-05-04,1
Sweet Child O' Mine,Guns N' Roses,3,2004,9,15,1300,9,60190,179,4,39,0,33,102.03423659671044,F#,Major,43.35008855711349,54.513960644974574,46.73786190449796,47.40144785858961,28.201932706241653,58.23072736586288,5.237889333933612,2004-09-15,0
House Of Memories,Panic! At The Disco,4,2002,8,3,1452,19,172062,220,11,71,4,36,99.58475960253418,B,Minor,59.114035318400525,55.09801613604185,50.0229085138595,67.0079928910281,45.66848203217934,54.088117660524986,14.513922217321031,2002-08-03,1
LOKERA,"Brray, Rauw Alejandro, Lyanno",1,2014,5,1,334,3,16019,280,8,20,8,6,148.5927744612457,B,Minor,80.24265633874639,71.63827516528102,74.73455640168933,7.579574178866723,9.925095422736243,16.858867857754962,21.52299706835312,2014-05-01,1
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",5,2022,7,21,2405,10,4928,151,19,106,7,36,137.83345298059228,Unknown,Major,94.46160393139712,67.76998397950999,83.75844031457642,21.20013482038089,0.2887407319306212,14.467199612175698,22.373525362050813,2022-07-21,0
Running Up That Hill (A Deal With God),Kate Bush,1,2022,11,2,3846,9,177167,271,4,131,7,43,92.76758103177345,A#,Minor,58.24168740110312,45.88890093777414,48.43559052714624,47.47081187595013,32.32477087599522,45.87695265930407,9.1837778627,2022-11-02,1
You Right,"Doja Cat, The Weeknd",2,1989,10,15,2682,5,194670,276,8,7,1,5,94.02231469832918,G#,Major,49.07750548760151,48.16155660487161,32.18980550283202,64.5100763090436,36.42340860979135,55.31195318018987,5.813668937303951,1989-10-15,0
Agosto,Bad Bunny,3,2014,7,11,4153,9,35130,290,5,131,6,17,148.60937581474008,C#,Minor,78.14697383882336,75.65361890065626,72.67668108194951,20.978315098408764,3.0946131159495147,16.450367891194936,19.29327918150761,2014-07-11,1
Shut up My Moms Calling,Hotel Ugly,5,2001,7,12,871,3,24548,135,13,54,8,34,99.20481051987213,A,Minor,53.29895637980836,43.92072159053618,42.45301150523844,42.61283665416366,36.10167252028224,56.69832540034548,13.171680972804124,2001-07-12,1
Let Me Down Slowly,Alec Benjamin,1,2021,7,31,2411,6,24867,65,11,26,5,31,95.83615451334208,C#,Minor,53.62836514599832,42.86700519385575,33.15014039832254,49.631072148615566,41.66744598438429,31.54461772431001,14.164947579472088,2021-07-31,1
The Color Violet,Tory Lanez,5,2011,5,22,3822,10,174840,261,4,114,2,3,141.79920847867578,F#,Minor,84.94809412131306,78.32286508770508,78.48278723748264,10.762900408099142,2.552366994004951,14.75267983303125,22.938796190516648,2011-05-22,1
Gone Girl,SZA,5,2010,9,18,2631,18,51276,77,16,50,2,11,136.17260019530238,F,Major,92.28905482005908,71.1425050496898,73.35522703416126,17.491237849870373,0.1552243148240517,5.353395962212181,27.998945036408536,2010-09-18,0
F2F,SZA,3,2017,5,2,3426,2,93420,81,4,114,5,2,92.8095454127792,D,Major,54.99013542692016,53.70391483707924,30.707313085121925,61.58986958793536,21.51184266218086,48.2443781612838,6.5563240162960925,2017-05-02,0
PERO Tï¿,"Karol G, Quevedo",3,2009,11,19,3551,15,178075,228,14,164,1,10,93.6512301194473,F#,Major,58.37654963253612,59.86559500289824,43.27315113620413,60.912285705919146,32.726533280320595,53.8735609358893,11.130324010925548,2009-11-19,0
MORE,j-hope,3,1978,3,11,4219,3,6721,192,10,49,2,30,109.04728824884408,D,Major,47.30657107915365,48.914562759855706,53.98608308491285,43.426239254432,34.64839686069126,34.238385535216224,14.796524583782103,1978-03-11,0
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",1,2020,11,21,4170,18,105607,190,10,14,5,43,94.81040974277389,C#,Major,51.6681542071932,50.06490322137509,37.87263320418381,48.60121921422278,24.65437147009029,38.87610176321552,14.837356172867294,2020-11-21,0
cardigan,Taylor Swift,1,2018,3,27,2412,3,61380,181,9,140,7,24,102.9267270234605,Unknown,Minor,48.75143335415864,59.97592109939468,40.53216212263989,66.82121546773512,26.390515240454764,39.4031961311842,8.12540977650265,2018-03-27,1
PRC,"Natanael Cano, Peso Pluma",3,2005,10,31,107,16,26947,105,6,123,1,48,101.70650896846936,G,Minor,59.70423079116275,54.97185063083121,51.99388436345643,51.66863001436014,30.56316260380973,53.42294232831215,8.318671321551381,2005-10-31,1
Tak Ingin Usai,Keisya Levronka,1,2004,11,29,3760,3,195189,155,6,80,5,34,134.215768699921,Unknown,Major,80.638143968372,64.56569891539434,71.43920107716518,11.496229697918883,2.299783127941455,11.888188490729483,23.54181136848736,2004-11-29,0
I Hate U,SZA,2,2001,12,19,1227,17,143620,283,1,12,3,39,149.6020618778623,G,Minor,82.76920368196697,74.66648558953507,79.53675665386041,6.377673612565856,8.71513325271889,18.84105521295709,26.491567506053197,2001-12-19,1
When I R.I.P.,Labrinth,5,2021,6,30,4612,14,94242,24,13,165,6,20,140.6191157041515,G#,Minor,94.78077912024746,75.98128078053395,73.40410763362105,7.447311297744341,4.825903517864352,6.235783713927169,20.681447492679403,2021-06-30,1
En Paris,"El Chachito, Junior H",4,2007,2,19,2987,12,95773,129,7,53,2,40,93.31369740928174,D#,Minor,40.06551318226573,52.33177352625607,42.89918268739584,67.6910682847075,46.34175536261553,33.930677233187524,6.988255925036694,2007-02-19,1
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2004,3,4,2578,5,195169,268,17,12,7,31,105.53445110164458,C#,Major,43.86998320377659,56.334622804473085,45.06993300839344,62.37504079399798,28.007178253471523,34.635127710410686,14.107336322338082,2004-03-04,0
Nobody Gets Me,SZA,2,2016,8,1,1227,16,176220,87,8,168,1,17,138.66951396689453,G,Major,93.88798151684716,72.24255531763583,87.64745568461802,5.1883915972658805,4.851140067347066,13.96045939143511,18.754849458612792,2016-08-01,0
Gatita,Bellakath,1,2012,4,27,1162,13,102774,193,9,189,8,1,144.1207302443769,G,Major,79.65099838360409,62.30879108200104,83.36382913047879,17.06368491203742,6.007968256495582,9.479819871741816,25.170195752478985,2012-04-27,0
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",1,2012,11,9,4218,7,140043,226,16,191,0,14,109.15672604594084,C#,Major,53.29010009042679,44.98585979868,53.34981887020693,54.08907688671455,47.38612508772866,52.82046368403097,13.716754222668214,2012-11-09,0
Falling,Harry Styles,1,2013,9,28,3734,17,86331,61,7,101,6,34,100.13112091130708,E,Major,48.747942961520856,45.09905443039787,49.88412562223478,69.11550950399459,28.463970782760185,57.63020999255681,9.390318765049406,2013-09-28,0
Broke Boys,"Drake, 21 Savage",5,2018,4,20,3226,14,58416,132,13,198,3,24,149.87353136113333,D,Major,78.09365752382146,72.93788321498613,81.40907203243002,6.072238803586576,7.798313139750309,6.09771109110058,21.479013070948803,2018-04-20,0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",5,2013,11,26,3965,16,22129,200,4,36,9,31,96.2775669531692,D#,Major,42.77971731171084,52.17627840522505,41.97747845379743,42.01194335455325,34.436510613448114,40.79157166377748,10.283749348672938,2013-11-26,0
Good Days,SZA,1,2014,11,6,1127,14,162200,100,12,42,1,11,104.97008827303723,C#,Minor,58.3169349906278,48.04061283867688,57.52528308260448,67.59368134072521,36.610791066976574,36.04071103388055,10.800159698253491,2014-11-06,1
Mastermind,Taylor Swift,1,2002,2,15,2710,12,19423,161,12,181,2,38,146.47103344889325,E,Major,91.13106917744892,74.23470247164032,86.70031613114226,6.246998494259943,0.1093709342263715,18.666946733304293,22.203198475600445,2002-02-15,0
PUFFIN ON ZOOTIEZ,Future,4,2011,9,18,4765,0,163551,113,0,21,4,12,139.28832940156252,G#,Major,89.37180090401287,78.50913035291629,88.408725674903,10.16223576189024,9.91921612730106,10.754831853907262,21.84378563704811,2011-09-18,0
I Ain't Worried,OneRepublic,5,1962,9,29,1449,18,127438,22,14,38,6,22,145.97274822510664,Unknown,Major,77.216644642721,62.75857331181444,82.8427901965538,11.827056310117378,6.232846737666953,19.12395409838596,20.55887526823054,1962-09-29,0
Vista Al Mar,Quevedo,1,2012,1,27,3163,4,95737,212,13,30,3,23,105.36146746257708,Unknown,Minor,56.451395997352485,55.53760197350034,38.05140000807375,58.270271591332666,35.538331334051,55.65310394205276,9.245046505309164,2012-01-27,1
I Know - PR1SVX Edit,"Kanii, PR1ISVX",1,2020,5,10,4567,4,173995,249,18,65,6,40,132.51418048985363,B,Minor,94.07914050415386,61.16241393313491,88.14025121045448,5.467587585878768,8.36674631096971,8.959022080137595,17.985121334913458,2020-05-10,1
If We Ever Broke Up,Mae Stephens,2,2022,5,15,1177,10,168205,103,17,112,3,3,140.61562788367584,G,Major,80.10255512826548,71.77671294594202,89.66522440409655,6.739505097174381,3.428552980577212,7.048988059823362,27.688475576112143,2022-05-15,0
Shake It Off,Taylor Swift,5,2003,3,12,739,4,13667,145,4,164,1,8,146.51552262732514,G,Major,77.7446232956031,61.45057543491187,81.99485848511056,19.25830219171864,8.664533282095984,14.03741736476282,21.87905135961096,2003-03-12,0
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",3,2015,11,23,4175,6,13547,117,6,198,0,19,108.49567113328186,E,Minor,59.768428534085885,52.06870369076118,51.09132243628636,43.08431197117386,40.888320196209975,31.3449729477325,11.75852189902539,2015-11-23,1
S91,Karol G,4,2004,2,24,2154,11,95189,77,4,57,0,37,102.1796761136907,Unknown,Minor,54.385332282740976,48.47740476586994,47.97572954315606,58.78954666102079,44.78879574108825,52.23301119208638,5.146254822871391,2004-02-24,1
you broke me first,Tate McRae,3,2008,11,24,3041,1,51641,226,1,21,0,34,108.58562514064133,E,Major,53.37647932625489,54.92593496381968,56.3464683269171,67.13856159219546,31.378750438143733,48.67062980572668,9.59200647314155,2008-11-24,0
Hold Me Closer,"Elton John, Britney Spears",3,1983,3,28,1917,4,73915,140,2,127,5,41,105.9055312454164,Unknown,Major,49.258748185855,52.73410256220876,39.83268200852224,66.0623664797488,38.56482843198425,44.13251648761703,13.92810469910324,1983-03-28,0
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",4,2012,4,1,2948,10,5508,14,1,138,6,26,148.5290488655573,F#,Minor,89.98277718402834,71.44051527276325,83.10114300696732,12.650449341581076,4.326420394932928,9.434514806643524,20.08440463548454,2012-04-01,1
QUEMA,"Sog, Ryan Castro, Peso Pluma",2,2019,8,3,2049,11,97467,111,7,59,4,17,145.60090699457095,Unknown,Major,78.74652694542586,79.1907832411379,79.93576544029634,20.32839132083698,5.623889214688047,16.13631038694188,23.747047815103976,2019-08-03,0
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",1,2001,6,9,3611,1,121406,294,16,32,7,11,104.5109566931005,E,Major,53.11875267389501,51.80714717546894,56.8372231051661,58.359217489057926,28.93791452874897,41.21304172412336,5.83224979761494,2001-06-09,0
Sure Thing,Miguel,2,2022,8,11,3737,17,155572,232,15,188,8,41,143.81357628634848,B,Minor,85.60966972698688,62.70024401327137,84.54435145901354,18.343071701777323,2.0843807834516195,6.4510789439013205,19.90162288444272,2022-08-11,1
Shake It Off,Taylor Swift,5,2022,11,10,3231,8,163436,42,19,191,4,37,132.54725770649128,G,Major,75.90864910466486,60.67073316397706,86.89640081685882,7.48552675572234,9.836215493151084,12.959683115071403,15.760326706220033,2022-11-10,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",1,2000,7,22,2468,12,198585,16,18,60,4,6,107.17071868751714,Unknown,Major,47.79691617134149,58.13977938783189,47.511384590200265,52.61712697079716,33.547779786621646,35.13827472515602,9.58753000733882,2000-07-22,0
Set Fire to the Rain,Adele,4,1979,12,30,3078,0,8551,299,15,7,0,10,136.15685472597193,D,Minor,81.61140262924447,69.6999220138785,79.05453231232826,13.568960461815196,9.144140595867311,9.67707592827792,17.791106257605357,1979-12-30,1
Hati-Hati di Jalan,Tulus,4,2022,2,9,3238,18,112325,135,2,45,8,15,132.5422204322953,F#,Major,94.6704788248842,62.5184524443471,72.29322630159696,13.54266054905408,8.964771217934802,7.397396471918545,18.298913144795737,2022-02-09,0
La Bebe,Yng Lvcas,5,2020,7,23,2273,8,103345,88,4,16,5,49,140.0920631336012,D,Minor,85.08504678971643,73.3313897022768,84.0064075090966,21.19539305599371,8.71913538776862,15.928445727232075,27.31131142060676,2020-07-23,1
Where Are You Now,"Lost Frequencies, Calum Scott",5,1988,3,29,4696,2,32155,104,13,133,6,29,149.7028695322301,F#,Minor,85.8731422267014,61.85214984361104,86.98479839152452,19.577645348269623,5.656443368302843,14.109467475735718,19.37191045463173,1988-03-29,1
Talking To The Moon,Bruno Mars,1,2002,1,10,1363,2,178086,191,2,99,1,26,107.58652316620012,C#,Minor,47.5402453887409,56.04498220070265,32.66120460999739,59.60869422005096,26.75325703747457,53.85372368223533,13.848325822135685,2002-01-10,1
Rich Spirit,Kendrick Lamar,4,1996,2,8,4073,4,20905,119,12,98,3,16,132.06530119366747,A#,Minor,85.26512083323884,71.48337602173879,75.15857706000952,15.669398763094932,0.626262156354046,17.297262029733915,18.440662880693026,1996-02-08,1
En La De Ella,"Feid, Sech, Jhayco",5,2009,11,10,2306,19,84501,260,5,39,3,42,97.68905901231464,C#,Major,58.24228158211281,46.05656123291661,58.483694844758205,48.11661697476541,26.716076615045537,31.24641200992104,6.441203614277854,2009-11-10,0
Die For You - Remix,"Ariana Grande, The Weeknd",1,2012,5,30,2854,8,196471,146,5,155,4,16,92.57271279753064,C#,Minor,54.43797831209298,58.85896281137666,43.51545379455244,68.54393703382283,31.53256986704086,59.10044986862404,9.982094941834792,2012-05-30,1
Lost,Frank Ocean,1,2009,7,15,1618,10,71163,51,1,121,0,45,106.33669253174232,A#,Minor,55.86140492462499,49.48829965929684,34.86906187344826,53.65093871149189,47.35118238770301,35.4828326443321,12.61930394353059,2009-07-15,1
We Found Love,"Rihanna, Calvin Harris",3,2018,10,5,2870,8,83770,243,11,73,6,7,90.00046678412548,C#,Major,45.32916272537496,55.18699597807922,50.45957750068208,42.11126133152186,23.639784228618822,50.73021308530917,6.644380527733521,2018-10-05,0
Typa Girl,BLACKPINK,4,2007,11,6,4011,13,79110,247,10,12,3,33,146.6574849315674,G,Major,81.33821948229982,71.4751755571337,71.82162485649287,24.249090086772952,0.0085136936158403,11.210776568615644,25.08952568244768,2007-11-06,0
After Dark,Mr.Kitty,4,2018,5,29,3210,4,55039,98,11,144,9,2,146.20611438565112,G#,Major,84.47875995865708,67.02150714298432,79.16705823907355,17.702044259313595,6.00597895877894,10.236131931236656,20.07079561676196,2018-05-29,0
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2,2014,1,5,4143,19,5249,143,11,14,3,28,109.07606434214124,F,Minor,54.978482891233575,59.57128428081795,54.59880503361526,48.21869930316932,24.25363958039319,33.36019120962918,8.675631934347663,2014-01-05,1
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",5,2018,2,11,3699,19,32336,280,0,11,3,49,109.60060474289187,D,Major,59.70333454102007,51.65868805721564,33.810581525105974,47.24240496152871,34.81521400581242,35.18219321283101,14.960165368606836,2018-02-11,0
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",5,2015,1,9,836,13,174319,295,5,103,5,26,134.23008349356618,G#,Major,86.67182697389705,78.5578077144521,80.60088135358112,17.34554854164762,5.184584419995474,15.020644017309165,22.574299496969758,2015-01-09,0
Vista Al Mar,Quevedo,5,2015,6,4,1699,9,107137,141,17,179,2,43,140.72166108989325,Unknown,Minor,92.21114334309652,71.28664764905915,70.34109930572929,9.610679618493643,2.7073750402622467,7.852993165151822,16.764236088830938,2015-06-04,1
Nail Tech,Jack Harlow,2,2002,6,17,2811,19,25729,28,0,138,5,38,148.93625332949722,E,Minor,93.53179151022212,65.60727236116551,87.23087637481527,12.540353344836344,3.328849631609301,14.086689324384768,21.17149226506055,2002-06-17,1
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",5,2021,7,2,319,1,176354,38,14,131,2,7,100.6422045411248,F,Minor,54.3376020999136,51.01560962847359,37.0343694029144,69.56649025084036,46.80141030795488,45.22429068599119,11.074486272995763,2021-07-02,1
Maroon,Taylor Swift,1,2005,3,12,3896,4,3689,106,18,88,5,49,106.21280002585,G,Major,54.8869919740276,55.89190226381014,48.34443631090174,67.8574379006897,33.692501690414964,57.851868572502624,12.471840738501506,2005-03-12,0
Lost in the Fire,"The Weeknd, Gesaffelstein",5,2013,1,23,532,16,168151,31,2,78,4,5,106.92440557314504,D,Major,40.34651399671007,47.94497821807993,43.68876678076964,62.206862529035725,49.30408178048052,33.45840129081637,9.850229848939607,2013-01-23,0
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2020,3,7,3317,14,151053,14,7,75,9,20,94.42378484571095,B,Major,43.39296152916332,52.45949352656118,55.38022933679144,52.48798668241736,47.79169364805946,55.20880216518825,10.823743480996391,2020-03-07,0
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,1992,6,6,3968,3,186516,191,9,164,1,21,136.06152085974776,F,Minor,87.29188424264278,68.48838744507353,77.37069526939901,22.204529673606885,9.621474194683232,8.829822961635733,27.216654658320007,1992-06-06,1
Fim de Semana no Rio,teto,3,2008,12,30,3018,14,30118,27,7,186,2,44,135.0775671849058,C#,Minor,85.71092531738653,73.44733325890864,75.54419330607232,7.518624313496874,0.9699519164517768,14.288620724175294,29.8880226546463,2008-12-30,1
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2021,8,24,2490,8,155575,155,6,101,4,10,149.39783654811697,Unknown,Major,90.68452144513164,61.01768060345634,80.18153246024644,14.106040355017097,6.262984944912454,12.205326598102914,27.125607626,2021-08-24,0
Falling,Harry Styles,4,2018,9,23,1665,19,61400,131,18,24,1,0,103.75263123137933,E,Major,56.79182750887213,53.9132918303494,36.141678109958086,57.00522620035324,29.74798514212592,30.162993996432657,10.963028721475734,2018-09-23,0
When I Was Your Man,Bruno Mars,2,1977,11,29,1495,7,74501,34,13,72,6,5,102.37617158944546,Unknown,Major,45.39161272777669,50.767740370972575,46.63740059821417,47.09015848999464,38.18515353145956,37.2483681031494,10.34926865211689,1977-11-29,0
ALIEN SUPERSTAR,Beyoncï¿,3,2018,6,21,623,18,2510,150,5,80,0,19,131.34994080337583,A#,Minor,77.4617688364105,64.32881086223992,84.58729044681154,16.292267611059792,5.5198828045926485,16.181671807813593,26.839580757993097,2018-06-21,1
Enchanted,Taylor Swift,1,2022,11,11,2167,0,70348,235,19,64,8,34,148.33112169588216,G#,Major,79.78465820551918,62.53867457465669,83.19491475193912,20.052528446883137,7.544965802565735,16.730121709551874,17.56621736755761,2022-11-11,0
